"","event_id","Player","game_clock","ball.x","ball.y","ball.radius","player.x","player.y","distance_ball"
"701",175,"Reggie Jackson",293.04,56.538406,21.702596,3.82149,56.716004,22.290588,0.614227679014874
"702",175,"Reggie Jackson",292.84,57.648064,21.27121,3.761152,57.256782,21.810714,0.666457927809399
"703",175,"Reggie Jackson",292.64,58.422402,21.018828,3.85433,57.722324,21.475736,0.835986917689505
"704",175,"Reggie Jackson",292.44,58.506864,21.60447,3.996066,58.007636,21.3201,0.574538852371188
"705",175,"Reggie Jackson",292.24,57.966044,21.870528,3.910974,58.085142,21.253608,0.628310926217266
"706",175,"Reggie Jackson",292.04,57.590236,21.665874,4.005912,58.057592,21.252176,0.624153559582898
"707",175,"Reggie Jackson",291.84,57.49251,21.862716,4.02074,58.035532,21.390818,0.719416857522808
"708",175,"Reggie Jackson",291.64,57.75953,22.268596,3.938996,58.024756,21.51423,0.799632973952425
"709",175,"Reggie Jackson",291.44,58.516766,21.618498,3.431684,58.027864,21.455644,0.515312129606897
"710",175,"Reggie Jackson",291.24,58.077836,20.597892,3.529324,57.998898,21.19311,0.600429575693934
"711",175,"Reggie Jackson",291.04,57.827206,20.429838,3.502154,57.992656,20.960028,0.555405382220951
"712",175,"Reggie Jackson",290.84,57.781045,20.4509783333333,3.46535,57.99613,20.8691933333333,0.470282195548589
"713",175,"Reggie Jackson",290.64,57.764715,20.5166816666667,3.39242833333333,58.0207516666667,20.8873366666667,0.450488516726872
"714",175,"Reggie Jackson",290.44,57.8265916666667,20.552715,3.35269833333333,58.0547133333333,20.9558816666667,0.463230888341753
"715",175,"Reggie Jackson",290.24,57.85565,20.5385716666667,3.33663333333333,58.1135633333333,21.0434733333333,0.566961180782152
"716",175,"Reggie Jackson",290.04,57.86635,20.52477,3.32245,58.166625,21.119365,0.66611432175716
"717",175,"Reggie Jackson",289.84,57.8677916666667,20.5273566666667,3.32349333333333,58.2042566666667,21.1551516666667,0.712274707012682
"718",175,"Reggie Jackson",289.64,57.95201,20.5034266666667,3.33672333333333,58.2183183333333,21.146915,0.69641752098787
"719",175,"Reggie Jackson",289.44,58.0839133333333,20.393545,3.35398666666667,58.2562533333333,21.123105,0.749639159329339
"720",175,"Reggie Jackson",289.24,58.3833,20.4003683333333,3.41918,58.2985083333333,21.1381616666667,0.742649735371407
"721",175,"Reggie Jackson",289.04,59.0897583333333,20.5685866666667,3.76404333333333,58.3263683333333,21.2383216666667,1.01553397891208
"722",175,"Reggie Jackson",288.84,59.403192,20.729902,5.616522,58.329806,21.41463,1.27318888582174
"723",175,"Reggie Jackson",288.64,58.854026,21.009774,7.02445,58.35988,21.52553,0.714272021608015
"724",175,"Reggie Jackson",288.44,58.71948,21.453236,7.212046,58.390778,21.570114,0.348863113108852
"725",175,"Reggie Jackson",288.24,58.847788,22.942252,7.241956,58.426274,21.664118,1.34584567248701
"726",175,"Kentavious Caldwell-Pope",287.64,64.159154,34.604718,4.848964,65.072274,35.291078,1.14231264722055
"727",175,"Kentavious Caldwell-Pope",287.44,63.063538,35.104754,3.303168,63.705892,35.495324,0.751773626975564
"728",175,"Kentavious Caldwell-Pope",287.24,62.7897,35.648738,3.413432,62.93572,35.948182,0.333149440245669
"729",175,"Kentavious Caldwell-Pope",287.04,62.89463,36.219806,3.564938,62.618622,36.434712,0.349807096697592
"730",175,"Kentavious Caldwell-Pope",286.84,62.96949,37.697776,3.493742,62.548854,36.945728,0.861690686267406
"731",175,"Kentavious Caldwell-Pope",286.64,62.455358,38.757034,3.281602,62.513114,37.41878,1.33949972902274
"732",175,"Kentavious Caldwell-Pope",286.44,62.656386,38.943962,3.20055,62.438684,37.71033,1.25269392599629
"733",175,"Kentavious Caldwell-Pope",286.24,62.869694,38.74405,3.22098,62.362732,37.731368,1.13249075164789
"734",175,"Kentavious Caldwell-Pope",286.04,63.043508,38.09555,3.176632,62.452414,37.68672,0.718703058109542
