"","Shooter","Shooter_Position","Shooter_Team","Shot_X","Shot_Y","Shot_angle","Shot_Distance","Shot_Result","Defender_Distance","Num_Defenders","Defender","Defender_Position","Defender_Team"
"53","Jason Smith","F-C","1610612753",6.186495,25.01768,81.2084602994446,0,2,2.5912211435634,2,"Anthony Tolliver","F","1610612765"
"54","Kentavious Caldwell-Pope","G","1610612765",85.14462,41.20757,38.165738867981,17,0,4.91854854139353,0,"Evan Fournier","F","1610612753"
"55","Jason Smith","F-C","1610612753",13.105895,42.65923,34.5393165091007,17,2,6.19798636408834,0,"Andre Drummond","C","1610612765"
"56","Anthony Tolliver","F","1610612765",87.55453,26.67389,5.7891892701615,0,0,2.92689821336321,1,"Aaron Gordon","F","1610612753"
"57","Victor Oladipo","G","1610612753",8.50003,29.0750966666667,39.4054264070201,0,2,1.42894849646712,2,"Reggie Jackson","G","1610612765"
"58","Reggie Jackson","G","1610612765",90.37728,18.671615,45.4700472431138,6,0,3.28361403633252,1,"Victor Oladipo","G","1610612753"
"59","Andre Drummond","C","1610612765",87.8658033333333,25.68983,NA,1,0,0.808491557421812,1,"Jason Smith","F-C","1610612753"
"60","Jason Smith","F-C","1610612753",17.06006,43.16755,31.326364461503,20,0,7.2629560808754,0,"Andre Drummond","C","1610612765"
"61","Evan Fournier","F","1610612753",25.577785,44.54941,31.4024175754686,27,0,5.30806990363022,0,"Kentavious Caldwell-Pope","G","1610612765"
"62","Reggie Jackson","G","1610612765",80.2765966666667,26.12906,45.9012149320057,7,0,3.36421760398228,2,"Nikola Vucevic","C","1610612753"
"63","Tobias Harris","F","1610612753",9.63317,40.50128,34.0184111898813,16,2,4.22293121276887,0,"Marcus Morris","F","1610612765"
"64","Marcus Morris","F","1610612765",88.755495,30.723545,45.7080663882701,5,2,1.03704830751754,2,"Tobias Harris","F","1610612753"
"65","Nikola Vucevic","C","1610612753",26.11391,26.78268,33.8312782225709,18,0,7.47400757457637,0,"Andre Drummond","C","1610612765"
"66","Andre Drummond","C","1610612765",88.99219,25.3737466666667,NA,0,2,16.1805718139807,0,"Tobias Harris","F","1610612753"
"67","Nikola Vucevic","C","1610612753",11.3647066666667,23.2460533333333,49.9333555706445,4,2,4.36962948673127,0,"Andre Drummond","C","1610612765"
"68","Reggie Jackson","G","1610612765",64.6765,30.3671333333333,34.4485956835407,27,0,5.61051648327399,0,"Victor Oladipo","G","1610612753"
