"","passer_Id","time_pass","shooter","time_receive","time_shot","quarter","shot_result","assist_status","time_to_shoot"
"81","Reggie Jackson",579.7,"Andre Drummond",579,577.5,3,"MISS","NO",1.5
"82","Reggie Jackson",579.7,"Andre Drummond",579,577.5,3,"MISS","NO",1.5
"83","Victor Oladipo",562.7,"Channing Frye",561.5,560.4,3,"MAKE","YES",1.10000000000002
"84","No Pass",0,"0",0,0,0,"0","0",0
"85","Victor Oladipo",530.4,"Nikola Vucevic",529.5,529.3,3,"MAKE","YES",0.200000000000045
"86","Reggie Jackson",503.8,"Ersan Ilyasova",502.3,501.9,3,"MISS","NO",0.400000000000034
"87","Victor Oladipo",469.6,"Tobias Harris",468.6,467.8,3,"MAKE","NO",0.800000000000011
"88","Reggie Jackson",445.8,"Kentavious Caldwell-Pope",444.6,442.8,3,"MISS","NO",1.80000000000001
"89","Ersan Ilyasova",440.3,"Marcus Morris",438.8,437.7,3,"MAKE","NO",1.10000000000002
"90","Tobias Harris",418.6,"Victor Oladipo",417.8,417.4,3,"MAKE","YES",0.400000000000034
"91","No Pass",0,"0",0,0,0,"0","0",0
"92","Evan Fournier",370.9,"Nikola Vucevic",370.3,369.9,3,"MISS","NO",0.400000000000034
"93","No Pass",0,"0",0,0,0,"0","0",0
"94","Reggie Jackson",337.9,"Kentavious Caldwell-Pope",336.9,336.4,3,"MAKE","YES",0.5
"95","Evan Fournier",312.6,"Victor Oladipo",311.2,309.6,3,"MISS","NO",1.59999999999997
"96","Reggie Jackson",293.4,"Andre Drummond",291.7,288.4,3,"MAKE","YES",3.30000000000001
"97","Victor Oladipo",262.8,"Channing Frye",261.8,261.7,3,"MISS","NO",0.100000000000023
"98","Nikola Vucevic",259.6,"Evan Fournier",258.3,257.8,3,"MISS","NO",0.5
"99","No Pass",0,"0",0,0,0,"0","0",0
"100","Tobias Harris",221.1,"Nikola Vucevic",220.3,215.2,3,"MAKE","NO",5.10000000000002
"101","No Pass",0,"0",0,0,0,"0","0",0
"102","Brandon Jennings",165.5,"Ersan Ilyasova",164.7,164.1,3,"MAKE","YES",0.599999999999994
"103","Brandon Jennings",138.7,"Stanley Johnson",137.7,134.1,3,"MISS","NO",3.59999999999999
"104","Stanley Johnson",134.1,"Ersan Ilyasova",131.8,129.8,3,"MAKE","NO",2
"105","Shabazz Napier",117,"Victor Oladipo",116.3,114.1,3,"MAKE","NO",2.2
"106","Brandon Jennings",97.7,"Marcus Morris",96.9,92,3,"MAKE","NO",4.90000000000001
