"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"135","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,32,46,"00:06:49","00:05:11","00:00:13",151,"DET","shot","","","","","","",NA,"",NA,"Brandon Jennings",2,"","","made","","Floating Jump Shot",6,55,23,30.5,86.7,"Jennings 6' Floating Jump Shot (5 PTS)"
"136","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,32,46,"00:06:30","00:05:30","00:00:19",152,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",13,92,87,15.8,13.7,"MISS Fournier 13' Jump Shot"
"138","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,32,48,"00:06:12","00:05:48","00:00:17",154,"DET","shot","Anthony Tolliver","","","","","",NA,"",NA,"Aron Baynes",2,"","","made","","Hook Shot",5,25,38,27.5,85.2,"Baynes 5' Hook Shot (2 PTS) (Tolliver 1 AST)"
"139","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",2,34,48,"00:05:59","00:06:01","00:00:13",155,"ORL","shot","Victor Oladipo","","","","","",NA,"",NA,"Jason Smith",2,"","","made","","Layup",0,-2,-1,25.2,4.9,"Smith  Layup (9 PTS) (Oladipo 3 AST)"
"146","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,35,48,"00:05:44","00:06:16","00:00:15",165,"DET","miss","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",0,"","","missed","","Jump Shot",17,168,7,41.8,88.3,"MISS Caldwell-Pope 17' Jump Shot"
"148","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,37,48,"00:05:30","00:06:30","00:00:14",167,"ORL","shot","Evan Fournier","","","","","",NA,"",NA,"Jason Smith",2,"","","made","","Jump Shot",17,-165,56,41.5,10.6,"Smith 17' Jump Shot (12 PTS) (Fournier 2 AST)"
"149","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,37,48,"00:05:09","00:06:51","00:00:21",168,"DET","miss","","","","","","",NA,"",NA,"Anthony Tolliver",0,"","","missed","","Finger Roll Layup",0,0,-1,25,89.1,"MISS Tolliver  Finger Roll Layup"
"151","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,39,48,"00:05:02","00:06:58","00:00:07",170,"ORL","shot","","","","","","",NA,"",NA,"Victor Oladipo",2,"","","made","","Driving Layup",0,0,2,25,5.2,"Oladipo  Driving Layup (9 PTS)"
"152","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,39,48,"00:04:37","00:07:23","00:00:25",171,"DET","miss","","","","","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Jump Shot",6,-58,13,19.2,87.7,"MISS Jackson 6' Jump Shot"
"154","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,39,48,"00:04:32","00:07:28","00:00:04",173,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Layup",1,-12,-6,23.8,89.6,"MISS Drummond 1' Layup"
"156","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,39,50,"00:04:29","00:07:31","00:00:03",175,"DET","shot","","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","unknown",1,-7,-5,24.3,89.5,"Drummond 1' Tip Layup Shot (12 PTS)"
"157","=""0021500514""","2015-2016 Regular Season","2016-01-04","Jason Smith","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Kentavious Caldwell-Pope","Anthony Tolliver","Andre Drummond","Marcus Morris","Reggie Jackson",2,39,50,"00:04:21","00:07:39","00:00:08",176,"ORL","miss","","","","","","",NA,"",NA,"Jason Smith",0,"","","missed","","Jump Shot",20,-186,85,43.6,13.5,"MISS Smith 20' Jump Shot"
"162","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,39,50,"00:03:54","00:08:06","00:00:21",181,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",27,-214,165,46.4,21.5,"MISS Fournier 27' 3PT Jump Shot"
"164","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,39,50,"00:03:42","00:08:18","00:00:12",183,"DET","miss","","","","","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Jump Shot",7,61,38,31.1,85.2,"MISS Jackson 7' Jump Shot"
"166","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,41,50,"00:03:26","00:08:34","00:00:16",185,"ORL","shot","Nikola Vucevic","","","","","",NA,"",NA,"Tobias Harris",2,"","","made","","Jump Shot",16,-158,36,40.8,8.6,"Harris 16' Jump Shot (2 PTS) (Vucevic 2 AST)"
"167","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,41,52,"00:03:01","00:08:59","00:00:25",186,"DET","shot","","","","","","",NA,"",NA,"Marcus Morris",2,"","","made","","Jump Bank Shot",5,48,2,29.8,88.8,"Marc Morris 5' Jump Bank Shot (5 PTS)"
"168","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,41,52,"00:02:51","00:09:09","00:00:10",187,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Jump Shot",18,-9,183,25.9,23.3,"MISS Vucevic 18' Jump Shot"
"170","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,41,54,"00:02:44","00:09:16","00:00:07",189,"DET","shot","Kentavious Caldwell-Pope","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Dunk",0,0,1,25,88.9,"Drummond  Dunk (14 PTS) (Caldwell-Pope 2 AST)"
"171","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,43,54,"00:02:20","00:09:40","00:00:24",190,"ORL","shot","","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Hook Shot",4,12,38,23.8,8.8,"Vucevic 4' Hook Shot (8 PTS)"
"172","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Evan Fournier","Tobias Harris","Nikola Vucevic","Kentavious Caldwell-Pope","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova",2,43,54,"00:02:04","00:09:56","00:00:16",191,"DET","miss","","","","","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Jump Shot",27,164,210,41.4,68,"MISS Jackson 27' 3PT Jump Shot"
"182","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Tobias Harris","Nikola Vucevic","Shabazz Napier","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova","Stanley Johnson",2,43,54,"00:01:41","00:10:19","00:00:14",203,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Jump Shot",17,-158,51,40.8,10.1,"MISS Vucevic 17' Jump Shot"
"184","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Tobias Harris","Nikola Vucevic","Shabazz Napier","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova","Stanley Johnson",2,43,54,"00:01:23","00:10:37","00:00:18",205,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Layup",0,2,2,25.2,88.8,"MISS Drummond  Layup"
"186","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Tobias Harris","Nikola Vucevic","Shabazz Napier","Andre Drummond","Marcus Morris","Reggie Jackson","Ersan Ilyasova","Stanley Johnson",2,45,54,"00:01:17","00:10:43","00:00:06",207,"ORL","shot","Aaron Gordon","","","","","",NA,"",NA,"Tobias Harris",2,"","","made","","Alley Oop Dunk",0,0,1,25,5.1,"Harris  Alley Oop Dunk (4 PTS) (Gordon 1 AST)"
"202","=""0021500514""","2015-2016 Regular Season","2016-01-04","Aaron Gordon","Victor Oladipo","Tobias Harris","Nikola Vucevic","Shabazz Napier","Marcus Morris","Reggie Jackson","Ersan Ilyasova","Stanley Johnson","Aron Baynes",2,47,57,"00:00:01","00:11:59","00:00:22",234,"DET","miss","","","","","","",NA,"",NA,"Ersan Ilyasova",0,"","","missed","","Jump Shot",14,-83,115,16.7,77.5,"MISS Ilyasova 14' Jump Shot"
"206","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,49,57,"00:11:41","00:00:19","00:00:19",239,"ORL","shot","","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Hook Shot",6,-56,13,30.6,6.3,"Vucevic 6' Hook Shot (10 PTS)"
"207","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,49,57,"00:11:14","00:00:46","00:00:27",240,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Jump Shot",17,-165,-1,8.5,89.1,"MISS Drummond 17' Jump Shot"
"209","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,49,57,"00:11:05","00:00:55","00:00:08",242,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Hook Shot",8,82,21,16.8,7.1,"MISS Vucevic 8' Hook Shot"
"211","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,52,57,"00:11:00","00:01:00","00:00:04",244,"ORL","shot","Nikola Vucevic","","","","","",NA,"",NA,"Tobias Harris",3,"","","made","","Jump Shot",26,-125,228,37.5,27.8,"Harris 26' 3PT Jump Shot (7 PTS) (Vucevic 3 AST)"
"212","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,52,57,"00:10:37","00:01:23","00:00:23",245,"DET","miss","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",0,"","","missed","","Jump Shot",25,228,111,47.8,77.9,"MISS Caldwell-Pope 25' 3PT Jump Shot"
"214","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,54,57,"00:10:23","00:01:37","00:00:14",247,"ORL","shot","Tobias Harris","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Hook Shot",6,-58,21,30.8,7.1,"Vucevic 6' Hook Shot (12 PTS) (Harris 2 AST)"
"216","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,54,59,"00:10:08","00:01:52","00:00:15",250,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Jump Shot",14,-125,52,12.5,83.8,"Jackson 14' Jump Shot (6 PTS)"
"217","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,54,59,"00:09:45","00:02:15","00:00:23",251,"ORL","miss","","","","","","",NA,"",NA,"Tobias Harris",0,"","","missed","","Jump Shot",26,-204,160,45.4,21,"MISS Harris 26' 3PT Jump Shot"
"219","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,54,59,"00:09:36","00:02:24","00:00:09",253,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Hook Shot",7,-58,31,19.2,85.9,"MISS Drummond 7' Hook Shot"
"221","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,54,59,"00:09:34","00:02:26","00:00:01",255,"DET","miss","","","","","","",NA,"",NA,"Andre Drummond",0,"","","missed","","Jump Shot",5,-48,26,20.2,86.4,"MISS Drummond 5' Jump Shot"
"224","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,56,59,"00:09:17","00:02:43","00:00:12",258,"ORL","shot","Victor Oladipo","","","","","",NA,"",NA,"Channing Frye",2,"","","made","","Jump Shot",16,145,67,10.5,11.7,"Frye 16' Jump Shot (2 PTS) (Oladipo 4 AST)"
"225","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,56,61,"00:08:59","00:03:01","00:00:18",259,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Jump Shot",14,63,126,31.3,76.4,"Jackson 14' Jump Shot (8 PTS)"
"226","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,58,61,"00:08:45","00:03:15","00:00:14",260,"ORL","shot","Victor Oladipo","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Jump Shot",17,163,56,8.7,10.6,"Vucevic 17' Jump Shot (14 PTS) (Oladipo 5 AST)"
"227","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,58,61,"00:08:18","00:03:42","00:00:27",262,"DET","miss","","","","","","",NA,"",NA,"Ersan Ilyasova",0,"","","missed","","Jump Shot",26,-187,174,6.3,71.6,"MISS Ilyasova 26' 3PT Jump Shot"
"232","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,60,63,"00:07:44","00:04:16","00:00:22",269,"ORL","shot","","","","","","",NA,"",NA,"Tobias Harris",2,"","","made","","Driving Dunk",0,0,1,25,5.1,"Harris  Driving Dunk (9 PTS)"
"233","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,60,63,"00:07:22","00:04:38","00:00:22",270,"DET","miss","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",0,"","","missed","","Jump Shot",7,-74,2,17.6,88.8,"MISS Caldwell-Pope 7' Jump Shot"
"235","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,60,63,"00:07:20","00:04:40","00:00:01",272,"DET","miss","","","","Channing Frye","","",NA,"",NA,"Ersan Ilyasova",0,"","","missed","","Jump Shot",5,45,7,29.5,88.3,"Frye BLOCK (2 BLK), MISS Ilyasova 5' Jump Shot"
"237","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,60,65,"00:07:17","00:04:43","00:00:01",274,"DET","shot","","","","","","",NA,"",NA,"Marcus Morris",2,"","","made","","Jump Shot",14,132,33,38.2,85.7,"Marc Morris 14' Jump Shot (9 PTS)"
"239","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,63,65,"00:06:53","00:05:07","00:00:13",276,"ORL","shot","Tobias Harris","","","","","",NA,"",NA,"Victor Oladipo",3,"","","made","","Jump Shot",26,74,247,17.6,29.7,"Oladipo 26' 3PT Jump Shot (14 PTS) (Harris 3 AST)"
"240","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,63,67,"00:06:30","00:05:30","00:00:23",277,"DET","shot","","","","","","",NA,"",NA,"Marcus Morris",2,"","","made","","Pullup Jump Shot",17,158,75,40.8,81.5,"Marc Morris 17' Pullup Jump Shot (11 PTS)"
"241","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,63,67,"00:06:06","00:05:54","00:00:24",278,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Dunk",0,0,1,25,5.1,"MISS Vucevic  Dunk"
"245","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,63,67,"00:05:40","00:06:20","00:00:24",283,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",8,30,70,22,12,"MISS Fournier 8' Jump Shot"
"247","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,63,70,"00:05:32","00:06:28","00:00:07",285,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",3,"","","made","","Jump Shot",26,48,254,29.8,63.6,"Caldwell-Pope 26' 3PT Jump Shot (13 PTS) (Jackson 6 AST)"
"252","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,65,70,"00:05:04","00:06:56","00:00:12",291,"ORL","miss","","","","","","",NA,"",NA,"Victor Oladipo",0,"","","missed","","Jump Shot",19,-63,178,31.3,22.8,"MISS Oladipo 19' Jump Shot"
"254","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,65,72,"00:04:45","00:07:15","00:00:19",293,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Hook Shot",7,-66,13,18.4,87.7,"Drummond 7' Hook Shot (17 PTS) (Jackson 7 AST)"
"255","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,65,72,"00:04:19","00:07:41","00:00:26",294,"ORL","miss","","","","","","",NA,"",NA,"Channing Frye",0,"","","missed","","Jump Shot",23,-233,26,48.3,7.6,"MISS Frye  3PT Jump Shot"
"257","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",3,65,72,"00:04:14","00:07:46","00:00:04",296,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",26,64,257,18.6,30.7,"MISS Fournier 26' 3PT Jump Shot"
"264","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Shabazz Napier","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",3,65,74,"00:03:57","00:08:03","00:00:09",303,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Running Jump Shot",10,-97,26,15.3,86.4,"Jackson 10' Running Jump Shot (12 PTS)"
"267","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Shabazz Napier","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",3,67,74,"00:03:31","00:08:29","00:00:00",305,"ORL","shot","","","","","","",NA,"",NA,"Nikola Vucevic",2,"","","made","","Hook Shot",4,-22,36,27.2,8.6,"Vucevic 4' Hook Shot (16 PTS)"
"268","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Shabazz Napier","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",3,67,76,"00:03:19","00:08:41","00:00:12",307,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Driving Layup",1,-1,-6,24.9,89.6,"Jackson 1' Driving Layup (14 PTS)"
"269","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Shabazz Napier","Marcus Morris","Ersan Ilyasova","Andre Drummond","Reggie Jackson","Stanley Johnson",3,67,76,"00:03:06","00:08:54","00:00:13",308,"ORL","miss","","","","Andre Drummond","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",4,38,16,21.2,6.6,"MISS Napier 4' Jump Shot, Drummond BLOCK (1 BLK)"
"275","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Victor Oladipo","Aaron Gordon","Shabazz Napier","Jason Smith","Marcus Morris","Ersan Ilyasova","Andre Drummond","Stanley Johnson","Brandon Jennings",3,67,79,"00:02:40","00:09:20","00:00:14",315,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Ersan Ilyasova",3,"","","made","","Jump Shot",27,-176,205,7.4,68.5,"Ilyasova 27' 3PT Jump Shot (8 PTS) (Jennings 4 AST)"
"277","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Victor Oladipo","Aaron Gordon","Shabazz Napier","Jason Smith","Marcus Morris","Ersan Ilyasova","Andre Drummond","Stanley Johnson","Brandon Jennings",3,67,79,"00:02:09","00:09:51","00:00:18",317,"DET","miss","","","","","","",NA,"",NA,"Stanley Johnson",0,"","","missed","","Jump Shot",23,225,51,47.5,83.9,"MISS Johnson  3PT Jump Shot"
"279","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Victor Oladipo","Aaron Gordon","Shabazz Napier","Jason Smith","Marcus Morris","Ersan Ilyasova","Andre Drummond","Stanley Johnson","Brandon Jennings",3,67,81,"00:02:04","00:09:56","00:00:04",319,"DET","shot","","","","","","",NA,"",NA,"Ersan Ilyasova",2,"","","made","","Fadeaway Jumper",14,133,36,38.3,85.4,"Ilyasova 14' Fadeaway Jumper (10 PTS)"
