"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"22","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,10,"00:08:02","00:03:58","00:00:11",21,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Dunk",0,0,1,25,5.1,"MISS Vucevic  Dunk"
"24","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,10,"00:07:55","00:04:05","00:00:06",23,"DET","miss","","","","Channing Frye","","",NA,"",NA,"Reggie Jackson",0,"","","missed","","Layup",3,-27,11,22.3,87.9,"Frye BLOCK (1 BLK), MISS Jackson 3' Layup"
"28","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,10,"00:07:41","00:04:19","00:00:09",26,"ORL","miss","","","","","","",NA,"",NA,"Tobias Harris",0,"","","missed","","Layup",2,20,-1,23,4.9,"MISS Harris 2' Layup"
"30","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,12,"00:07:35","00:04:25","00:00:05",28,"DET","shot","Marcus Morris","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Alley Oop Dunk",0,0,1,25,88.9,"Drummond  Alley Oop Dunk (2 PTS) (Marc Morris 1 AST)"
"34","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,14,"00:07:00","00:05:00","00:00:08",32,"DET","shot","","","","","","",NA,"",NA,"Reggie Jackson",2,"","","made","","Jump Shot",12,-9,115,24.1,77.5,"Jackson 12' Jump Shot (4 PTS)"
"35","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,14,"00:06:41","00:05:19","00:00:19",33,"ORL","miss","","","","","","",NA,"",NA,"Channing Frye",0,"","","missed","","Jump Shot",26,155,213,9.5,26.3,"MISS Frye 26' 3PT Jump Shot"
"37","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,14,"00:06:28","00:05:32","00:00:12",35,"DET","miss","","","","","","",NA,"",NA,"Ersan Ilyasova",0,"","","missed","","Jump Shot",25,-97,232,15.3,65.8,"MISS Ilyasova 25' 3PT Jump Shot"
"43","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,17,"00:06:00","00:06:00","00:00:23",44,"ORL","miss","","","","","","",NA,"",NA,"Tobias Harris",0,"","","missed","","Jump Shot",8,-83,7,33.3,5.7,"MISS Harris 8' Jump Shot"
"45","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Channing Frye","Nikola Vucevic","Evan Fournier","Victor Oladipo","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,19,"00:05:49","00:06:11","00:00:10",47,"DET","shot","Reggie Jackson","","","","","",NA,"",NA,"Andre Drummond",2,"","","made","","Hook Shot",6,58,7,30.8,88.3,"Drummond 6' Hook Shot (4 PTS) (Jackson 1 AST)"
"49","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Nikola Vucevic","Victor Oladipo","Shabazz Napier","Andrew Nicholson","Marcus Morris","Ersan Ilyasova","Andre Drummond","Kentavious Caldwell-Pope","Reggie Jackson",1,6,19,"00:05:28","00:06:32","00:00:18",53,"ORL","miss","","","","","","",NA,"",NA,"Nikola Vucevic",0,"","","missed","","Jump Shot",17,138,105,11.2,15.5,"MISS Vucevic 17' Jump Shot"
