"","player","global_ID","player_ID","team","team_abr","team_code","position_name","position_code","jersey_number","experience","rookie_year","birth_year","college","height_inch","weight_lbs"
"462","Arron Afflalo","263229","4305","Sacramento Kings","SAC","23","Shooting Guard","2","40","9","2007","1985","UCLA","77","215"
"463","Anthony Tolliver","229905","4371","Sacramento Kings","SAC","23","Power Forward","6","43","8","2008","1985","Creighton","80","240"
"464","Kosta Koufos","398066","4485","Sacramento Kings","SAC","23","Center","9","41","8","2008","1989","Ohio State","84","265"
"465","Ty Lawson","329672","4623","Sacramento Kings","SAC","23","Point Guard","1","10","7","2009","1987","North Carolina","71","195"
"466","Darren Collison","295432","4626","Sacramento Kings","SAC","23","Point Guard","1","7","7","2009","1987","UCLA","72","175"
"467","Omri Casspi","503779","4628","Sacramento Kings","SAC","23","Small Forward","5","18","7","2009","1988","None","81","225"
"468","Garrett Temple","263903","4682","Sacramento Kings","SAC","23","Shooting Guard","2","17","6","2009","1986","LSU","78","195"
"469","DeMarcus Cousins","509450","4720","Sacramento Kings","SAC","23","Power Forward","6","15","6","2010","1990","Kentucky","83","270"
"470","Ben McLemore","604898","5158","Sacramento Kings","SAC","23","Shooting Guard","2","23","3","2013","1993","Kansas","77","195"
"471","Lamar Patterson","504905","5359","Sacramento Kings","SAC","23","Shooting Guard","2","31","1","2015","1991","Pittsburgh","78","215"
"472","Willie Cauley-Stein","699950","5466","Sacramento Kings","SAC","23","Center","9","00","1","2015","1993","Kentucky","84","240"
"473","Duje Dukan","551959","5525","Sacramento Kings","SAC","23","Small Forward","5","26","1","2015","1991","Wisconsin","81","220"
"474","Georgios Papagiannis","920078","5644","Sacramento Kings","SAC","23","Center","9","13","0","2016","1997","None","86","250"
"475","Malachi Richardson","891081","5653","Sacramento Kings","SAC","23","Shooting Guard","2","5","0","2016","1996","Syracuse","78","205"
"476","Skal Labissiere","891349","5659","Sacramento Kings","SAC","23","Power Forward","6","3","0","2016","1996","Kentucky","83","225"
"477","Isaiah Cousins","697068","5690","Sacramento Kings","SAC","23","Shooting Guard","2","9","0","2016","1994","Oklahoma","76","200"
"478","Manu Ginobili","3361","3380","San Antonio Spurs","SA","24","Shooting Guard","2","20","14","2002","1977","None","78","205"
"479","Pau Gasol","3494","3513","San Antonio Spurs","SA","24","Center","9","16","15","2001","1980","None","84","250"
"480","Tony Parker","3508","3527","San Antonio Spurs","SA","24","Point Guard","1","9","15","2001","1982","None","74","185"
"481","David Lee","65840","3956","San Antonio Spurs","SA","24","Power Forward","6","42","11","2005","1983","Florida","81","245"
"482","LaMarcus Aldridge","266554","4130","San Antonio Spurs","SA","24","Power Forward","6","12","10","2006","1985","Texas","83","260"
"483","Danny Green","295922","4651","San Antonio Spurs","SA","24","Shooting Guard","2","14","7","2009","1987","North Carolina","78","215"
"484","Patty Mills","411562","4660","San Antonio Spurs","SA","24","Point Guard","1","8","7","2009","1988","Saint Mary's","72","185"
"485","Ryan Richards","550435","4780","San Antonio Spurs","SA","24","Power Forward","6","30","0","2016","1991","None","83","230"
"486","Kawhi Leonard","512591","4896","San Antonio Spurs","SA","24","Small Forward","5","2","5","2011","1991","San Diego State","79","230"
"487","Davis Bertans","599814","4926","San Antonio Spurs","SA","24","Small Forward","5","46","0","2016","1992","None","82","210"
"488","Dewayne Dedmon","606642","5256","San Antonio Spurs","SA","24","Center","9","3","3","2013","1989","USC","84","245"
"489","Kyle Anderson","697720","5341","San Antonio Spurs","SA","24","Small Forward","5","1","2","2014","1993","UCLA","81","230"
"490","Jonathon Simmons","553548","5526","San Antonio Spurs","SA","24","Small Forward","5","17","1","2015","1989","Houston","78","195"
"491","Dejounte Murray","884168","5660","San Antonio Spurs","SA","24","Point Guard","1","29","0","2016","1996","Washington","77","170"
"492","Ryan Arcidiacono","697940","5695","San Antonio Spurs","SA","24","Point Guard","1","37","0","2016","1994","Villanova","75","195"
"493","Patricio Garino","660254","5707","San Antonio Spurs","SA","24","Shooting Guard","2","47","0","2016","1993","George Washington","78","210"
"494","Bryn Forbes","699093","5726","San Antonio Spurs","SA","24","Point Guard","1","47","0","2016","1993","Michigan State","75","190"
"495","Kyle Lowry","266394","4152","Toronto Raptors","TOR","28","Point Guard","1","7","10","2006","1986","Villanova","73","196"
"496","DeMar DeRozan","457594","4614","Toronto Raptors","TOR","28","Shooting Guard","2","10","7","2009","1989","USC","79","221"
"497","DeMarre Carroll","262890","4632","Toronto Raptors","TOR","28","Small Forward","5","5","7","2009","1986","Missouri","80","215"
"498","Patrick Patterson","399599","4729","Toronto Raptors","TOR","28","Power Forward","6","54","6","2010","1989","Kentucky","81","230"
"499","Jonas Valanciunas","599780","4886","Toronto Raptors","TOR","28","Center","9","17","4","2012","1992","None","84","265"
"500","Cory Joseph","552805","4911","Toronto Raptors","TOR","28","Point Guard","1","6","5","2011","1991","Texas","75","193"
"501","Terrence Ross","550049","5014","Toronto Raptors","TOR","28","Shooting Guard","2","31","4","2012","1991","Washington","79","195"
"502","Jared Sullinger","552403","5055","Toronto Raptors","TOR","28","Center","9","50","4","2012","1992","Ohio State","81","280"
"503","Lucas Nogueira","639296","5186","Toronto Raptors","TOR","28","Center","9","92","2","2014","1992","None","84","220"
"504","E.J. Singler","509249","5242","Toronto Raptors","TOR","28","Small Forward","5","63","0","2016","1990","Oregon","78","215"
"505","Bruno Caboclo","830646","5331","Toronto Raptors","TOR","28","Small Forward","5","20","2","2014","1995","None","81","218"
"506","Drew Crawford","511647","5413","Toronto Raptors","TOR","28","Shooting Guard","2","1","0","2016","1990","Northwestern","77","209"
"507","Delon Wright","744102","5480","Toronto Raptors","TOR","28","Point Guard","1","55","1","2015","1992","Utah","77","190"
"508","Norman Powell","609861","5506","Toronto Raptors","TOR","28","Shooting Guard","2","24","1","2015","1993","UCLA","76","215"
"509","Jakob Poeltl","844478","5640","Toronto Raptors","TOR","28","Power Forward","6","9","0","2016","1995","Utah","84","248"
"510","Pascal Siakam","853408","5658","Toronto Raptors","TOR","28","Power Forward","6","27","0","2016","1994","New Mexico State","81","230"
"511","Jarrod Uthoff","606724","5705","Toronto Raptors","TOR","28","Power Forward","6","29","0","2016","1993","Iowa","82","221"
"512","Yanick Moreira","740343","5710","Toronto Raptors","TOR","28","Center","9","59","0","2016","1991","Southern Methodist","83","220"
"513","Fred VanVleet","707832","5727","Toronto Raptors","TOR","28","Point Guard","1","29","0","2016","1994","Wichita State","72","186"
"514","Joe Johnson","3501","3520","Utah Jazz","UTA","26","Small Forward","5","6","15","2001","1981","Arkansas","79","240"
"515","Boris Diaw","214157","3724","Utah Jazz","UTA","26","Power Forward","6","33","13","2003","1982","None","80","250"
"516","George Hill","277552","4488","Utah Jazz","UTA","26","Point Guard","1","3","8","2008","1986","IUPUI","75","192"
"517","Derrick Favors","502808","4718","Utah Jazz","UTA","26","Power Forward","6","15","6","2010","1991","Georgia Tech","82","262"
"518","Gordon Hayward","477667","4724","Utah Jazz","UTA","26","Small Forward","5","20","6","2010","1990","Butler","80","225"
"519","Alec Burks","512995","4893","Utah Jazz","UTA","26","Shooting Guard","2","10","5","2011","1991","Colorado","78","211"
"520","Shelvin Mack","477669","4916","Utah Jazz","UTA","26","Point Guard","1","8","5","2011","1990","Butler","75","203"
"521","Kendall Marshall","552334","5019","Utah Jazz","UTA","26","Point Guard","1","55","4","2012","1991","North Carolina","76","200"
"522","Chris Johnson","462745","5133","Utah Jazz","UTA","26","Small Forward","5","23","4","2012","1990","Dayton","78","201"
"523","Rudy Gobert","739960","5197","Utah Jazz","UTA","26","Center","9","27","3","2013","1992","None","85","245"
"524","Jeff Withey","457334","5209","Utah Jazz","UTA","26","Center","9","24","3","2013","1990","Kansas","84","222"
"525","Raul Neto","739966","5217","Utah Jazz","UTA","26","Point Guard","1","25","1","2015","1992","None","72","172"
"526","Danté Exum","830636","5316","Utah Jazz","UTA","26","Point Guard","1","11","1","2014","1995","None","78","190"
"527","Rodney Hood","603106","5334","Utah Jazz","UTA","26","Shooting Guard","2","5","2","2014","1992","Duke","80","215"
"528","Joe Ingles","553306","5393","Utah Jazz","UTA","26","Shooting Guard","2","2","2","2014","1987","None","80","216"
"529","Trey Lyles","845596","5472","Utah Jazz","UTA","26","Power Forward","6","41","1","2015","1995","Kentucky","82","241"
"530","Joel Bolomboy","679722","5683","Utah Jazz","UTA","26","Power Forward","6","22","0","2016","1994","Weber State","81","235"
"531","Marcus Paige","697021","5686","Utah Jazz","UTA","26","Point Guard","1","38","0","2016","1993","North Carolina","74","175"
"532","Tyrone Wallace","707852","5691","Utah Jazz","UTA","26","Shooting Guard","2","30","0","2016","1994","California","77","205"
"533","Quincy Ford","609868","5714","Utah Jazz","UTA","26","Small Forward","5","17","0","2016","1993","Northeastern","80","225"
"534","Drew Gooden","168010","3602","Washington Wizards","WAS","27","Power Forward","6","90","14","2002","1981","Kansas","82","250"
"535","Ian Mahinmi","292393","3954","Washington Wizards","WAS","27","Center","9","28","8","2007","1986","None","83","255"
"536","Marcin Gortat","292408","3983","Washington Wizards","WAS","27","Center","9","13","9","2007","1984","None","83","240"
"537","Jason Smith","263894","4298","Washington Wizards","WAS","27","Power Forward","6","14","8","2007","1986","Colorado State","84","240"
"538","Marcus Thornton","398590","4648","Washington Wizards","WAS","27","Small Forward","5","15","7","2009","1987","LSU","76","205"
"539","John Wall","509456","4716","Washington Wizards","WAS","27","Point Guard","1","2","6","2010","1990","Kentucky","76","195"
"540","Markieff Morris","469085","4894","Washington Wizards","WAS","27","Power Forward","6","5","5","2011","1989","Kansas","82","245"
"541","Bradley Beal","606912","5009","Washington Wizards","WAS","27","Shooting Guard","2","3","4","2012","1993","Florida","77","207"
"542","Andrew Nicholson","462970","5025","Washington Wizards","WAS","27","Power Forward","6","44","4","2012","1989","St. Bonaventure","81","250"
"543","Tomas Satoransky","659772","5066","Washington Wizards","WAS","27","Point Guard","1","6","0","2016","1991","None","79","210"
"544","Otto Porter","609256","5154","Washington Wizards","WAS","27","Small Forward","5","22","3","2013","1993","Georgetown","80","198"
"545","Trey Burke","605708","5160","Washington Wizards","WAS","27","Point Guard","1","31","3","2013","1992","Michigan","73","185"
"546","Jarell Eddie","552302","5419","Washington Wizards","WAS","27","Shooting Guard","2","8","1","2014","1991","Virginia Tech","79","218"
"547","Kelly Oubre Jr.","843271","5475","Washington Wizards","WAS","27","Small Forward","5","12","1","2015","1995","Kansas","79","205"
"548","Danuel House","692110","5728","Washington Wizards","WAS","27","Shooting Guard","2","43","0","2016","1993","Texas A&M","79","212"
"549","Sheldon McClellan","617257","5729","Washington Wizards","WAS","27","Shooting Guard","2","53","0","2016","1992","Miami (FL)","77","200"
"550","Daniel Ochefu","697949","5730","Washington Wizards","WAS","27","Center","9","57","0","2016","1993","Villanova","83","245"
